customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_DSL,InternetService_Fiber optic
7590-VHVEG,0,0,1,0,-1.277444584,0,2,0,1,0,0,0,0,1,-1.160322916,-0.992610524,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
5575-GNVDE,1,0,0,0,0.066327419,1,,1,0,1,0,0,0,0,-0.259628942,-0.172164709,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
3668-QPYBK,1,0,0,0,-1.23672422,1,,1,1,0,0,0,0,1,-0.362660356,-0.958065901,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
7795-CFOCW,1,0,0,0,0.5142514200025698,0,2,1,0,1,1,0,0,0,-0.746535463,-0.193672376,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
9237-HQITU,0,0,0,0,-1.23672422,1,,0,0,0,0,0,0,1,0.19736523310080326,-0.938874444,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
9305-CDSKC,0,0,0,0,-0.992402038,1,,0,0,1,0,1,1,1,1.1595456961969886,-0.643789249,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
1452-KIOVK,1,0,0,1,-0.422316946,1,,0,1,0,0,1,0,1,0.8089065291619363,-0.145737852,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
6713-OKOMC,0,0,0,0,-0.91096131,0,2,1,0,0,0,0,0,0,-1.16364651,-0.872586711,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
7892-POOKP,0,0,1,0,-0.177994763,1,,0,0,1,1,1,1,1,1.330710787214099,0.33808539553347106,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
6388-TABGU,1,0,0,1,1.2064976032430856,1,,1,1,0,0,0,0,0,-0.286217694,0.5330441272690194,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
9763-GRSKD,1,0,1,1,-0.788800219,1,,1,0,0,0,0,0,1,-0.492280522,-0.746606928,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
7469-LKBCI,1,0,0,0,-0.666639128,1,,0,0,0,0,0,0,0,-1.522594662,-0.861601256,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
8091-TTVAX,1,0,1,0,1.0436161483629645,1,,0,0,1,0,1,1,0,1.182810854199314,1.5006244452274227,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
0280-XJGEX,1,0,0,0,0.6771328748826912,1,,0,1,1,0,1,1,1,1.2941512532104444,1.2161496993050833,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
5129-JLPIS,1,0,0,0,-0.300155854,1,,1,0,1,1,1,1,1,1.3539759452164248,0.17925954483241316,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
3655-SNQYZ,0,0,1,1,1.4915401492832983,1,,1,1,1,1,1,1,0,1.611554480242174,2.4774254861848592,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
8191-XWSZG,0,0,0,0,0.7992939660427822,1,,0,0,0,0,0,0,0,-1.466093564,-0.554471767,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
9959-WOFKT,1,0,0,1,1.5729808767233588,1,,1,0,1,0,1,1,0,1.393859073220412,2.251142767227713,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
4190-MFLUW,0,0,1,1,-0.91096131,1,,0,0,1,1,0,0,0,-0.317791837,-0.772680839,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
4183-MYFRB,0,0,0,0,-0.463037309,1,,0,1,1,0,0,1,1,0.8404806721650927,-0.183900175,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
8779-QRDMV,1,1,0,0,-1.277444584,0,2,0,0,1,0,0,1,1,-0.834610704,-0.988286931,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
1680-VDCWW,1,0,1,0,-0.829520583,1,,0,0,0,0,0,0,0,-1.494344113,-0.916550588,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1066-JKSGK,1,0,0,0,-1.277444584,1,,0,0,0,0,0,0,0,-1.482711534,-0.996889998,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
3638-WEABW,0,0,1,0,1.0436161483629645,1,,0,1,0,1,0,0,1,-0.161582919,0.5406104143232504,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
6322-HRPFA,1,0,1,1,0.6771328748826912,1,,1,1,0,1,0,0,0,-0.171553701,0.3046657894484568,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
6865-JZNKO,0,0,0,0,-0.096554036,1,,1,1,0,0,0,0,1,-0.314468243,-0.330505258,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
6467-CHFZW,1,0,1,1,0.5956921474426305,1,,0,1,0,0,1,1,1,1.1495749141959914,1.0894640242250588,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
8665-UTDHZ,1,0,1,1,-1.277444584,0,2,0,1,0,0,0,0,0,-1.148690337,-0.99245611,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
5248-YGIJN,1,0,1,0,1.6137012404433893,1,,1,1,1,1,1,1,1,0.8471278601657574,1.8043127072554035,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
8773-HHUOZ,0,0,0,1,-0.625918764,1,,0,0,0,0,1,1,1,-0.002050407,-0.523522785,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
3841-NFECX,0,1,1,0,1.5729808767233588,1,,1,1,1,1,0,0,1,1.0498670941860242,1.9796829174044883,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
4929-XIHVW,1,1,1,0,-1.23672422,1,,0,0,1,0,1,1,1,1.0216165451832002,-0.925638957,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
6827-IEAUQ,0,0,1,1,-0.218715127,1,,1,1,1,1,0,0,0,0.046141706085686136,-0.178804512,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
7310-EGVHZ,1,0,0,0,-1.277444584,1,,0,0,0,0,0,0,0,-1.481049737,-0.996867939,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3413-BMNZE,1,1,0,0,-1.277444584,1,,0,0,0,0,0,0,0,-0.64848944,-0.985816307,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
6234-RAAPL,0,0,1,1,1.6137012404433893,1,,1,1,0,1,1,0,0,1.1678546811978192,2.193546337202649,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
6047-YHPVI,1,0,0,0,-1.114563129,1,,0,0,0,0,0,0,1,0.16412929309748078,-0.865968967,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
6572-ADKRS,0,0,0,0,0.5549717837226001,1,,0,0,1,0,0,0,1,0.33363258711442517,0.5596695164073775,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
5380-WJKOV,1,0,0,0,0.066327419,1,,0,1,1,0,1,1,1,1.3822264942192488,0.5600886401800608,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
8168-UQWWF,0,0,0,0,-0.870240946,1,,0,0,1,0,1,1,1,1.099721004191008,-0.518096235,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
8865-TNMNX,1,0,1,1,-0.91096131,1,,0,1,0,0,0,0,0,-0.505574898,-0.795909119,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
9489-DEDVP,0,0,1,1,1.5322605130033284,1,,1,1,0,0,1,0,1,0.14751132309581955,1.1438177597983101,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
9867-JCZSP,0,0,1,1,-0.625918764,1,,0,0,0,0,0,0,0,-1.46276997,-0.821255078,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
4671-VJLCL,0,0,0,0,1.247217966963116,1,,1,1,1,1,1,0,1,0.5014740841312035,1.1390088659854167,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
4080-IIARD,0,0,1,0,-0.788800219,1,,1,1,0,1,1,0,1,0.3801629031190768,-0.572780858,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
3714-NTNFO,0,0,0,0,0.6771328748826912,1,,0,0,0,0,0,1,1,0.6560212051466532,0.7177894744386527,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
5948-UJZLF,1,0,0,0,-1.23672422,1,,0,1,0,0,0,0,0,-0.51554568,-0.962985091,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
7760-OYPDY,0,0,0,0,-1.23672422,1,,0,0,0,0,1,0,1,0.5280628361338618,-0.942183316,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
7639-LIAYI,1,0,0,0,0.7992939660427822,1,,1,0,0,1,1,1,1,0.4981504901308714,0.8550414804194837,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
2954-PIBKO,0,0,1,1,1.4915401492832983,1,,1,0,1,1,0,0,1,-0.020330174,0.8710564203651738,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
8012-SOUDQ,0,1,0,0,0.43281069256250915,1,,0,1,0,0,1,0,1,0.8471278601657574,0.6878110951188281,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
9420-LOJKX,0,0,0,0,-0.707359492,1,,1,1,0,0,1,1,1,1.141265929195161,-0.376476519,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
6575-SUVOI,0,1,1,0,-0.300155854,1,,1,0,0,1,1,0,1,0.1574821050968162,-0.232540591,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
7495-OOKFY,0,1,1,0,-0.992402038,1,,0,1,0,0,0,0,1,0.5280628361338618,-0.726378691,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
4667-QONEA,0,1,1,1,1.125056875803025,1,,1,1,1,1,0,1,1,0.33529438411459117,0.9602856656548654,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1658-BYGOY,1,1,0,0,-0.5851984,1,,0,0,0,0,1,1,1,1.0199547481830342,-0.23258471,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
8769-KKTPH,0,0,1,1,1.247217966963116,1,,1,0,0,0,1,1,1,1.1595456961969886,1.778613802246135,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
5067-XJQFU,1,1,1,1,1.369379058123207,1,,0,1,1,1,1,1,1,1.4520219682262263,2.1161849124236753,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
3957-SQXML,0,0,1,1,0.066327419,1,,0,0,0,0,0,0,0,-1.323179022,-0.61122995,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
5954-BDFSG,0,0,0,0,1.6137012404433893,1,,0,0,1,1,1,1,1,1.420447825,2.459138454208307,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
0434-CSFON,0,0,1,0,0.5956921474426305,1,,0,0,1,0,1,1,1,1.1877962451998125,1.0709122824973383,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
1215-FIGMP,1,0,0,0,1.125056875803025,1,,0,1,0,0,1,0,1,0.8354952811645946,1.3989759007787455,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
0526-SXDJP,1,0,1,0,1.6137012404433893,0,2,1,1,1,0,0,0,0,-0.753182651,0.3010039712239601,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
0557-ASKVU,0,0,1,1,-0.5851984,1,,0,0,1,1,0,0,1,-0.344380589,-0.583523662,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
5698-BQJOH,0,0,0,0,-0.951681674,1,,0,0,0,0,1,1,0,0.9850570111795457,-0.627575777,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
5122-CYFXA,0,0,0,0,-1.196003856,1,,0,1,0,1,1,1,1,0.3502505571160864,-0.898087083,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
8627-ZYGSZ,1,0,1,0,0.5956921474426305,1,,0,1,0,0,0,0,1,0.46989994112804756,0.6046922332519411,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
3410-YOQBQ,0,0,0,0,-0.055833672,1,,0,1,1,1,1,1,0,0.47987072312904416,0.095942151,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
3170-NMYVV,0,0,1,1,0.7178532386027215,1,,0,0,0,0,0,0,0,-1.482711534,-0.595082655,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7410-OIEDU,1,0,0,0,-0.91096131,1,,1,0,1,0,0,0,1,0.5014740841312035,-0.614296171,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
2273-QCKXA,1,0,0,0,-1.277444584,1,,0,0,0,1,0,0,0,-0.522192868,-0.984139812,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
0731-EBJQB,0,0,1,1,0.7992939660427822,1,,0,0,0,0,0,0,1,-1.474402549,-0.524603684,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1891-QRQSA,1,1,1,1,1.2879383306831464,1,,1,0,1,1,1,1,1,1.5567151792366918,2.1261777055302837,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
8028-PNXHQ,1,0,1,1,1.2064976032430856,1,,0,0,0,0,0,0,1,-1.34644418,-0.377270648,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5630-AHZIL,0,0,0,1,-1.196003856,1,,1,0,0,1,0,1,1,-0.008697595,-0.927513984,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2673-CXQEU,0,1,0,0,0.9621754209229036,1,,1,1,1,0,1,1,0,1.5201556452330371,1.702862695120103,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
6416-JNVRK,0,0,0,0,0.5549717837226001,1,,0,0,0,0,0,1,0,-0.302835664,0.18049485700453238,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
5590-ZSKRV,0,0,1,1,-0.992402038,1,,1,1,0,0,0,0,0,-0.336071604,-0.793019371,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
0191-ZHSKZ,1,1,0,0,-0.096554036,1,,1,1,0,0,1,1,1,0.3319707901142591,-0.074310338,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
3887-PBQAO,0,0,1,1,0.5142514200025698,1,,0,0,0,0,0,0,1,-1.291604879,-0.469036695,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
5919-TMRGD,0,0,0,1,-1.277444584,1,,0,0,0,0,1,0,1,0.48485611412954227,-0.970771969,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
8108-UXRQN,0,0,1,1,-0.870240946,0,2,1,0,0,0,1,1,0,-0.472338958,-0.756357071,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
9191-MYQKX,0,0,1,0,-1.033122401,1,,0,0,1,0,0,0,1,0.34526516611558833,-0.786556041,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
9919-YLNNG,0,0,0,0,0.3920903288424788,1,,0,1,1,1,1,1,1,1.2974748472107767,0.9034392465914449,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
0318-ZOPWS,0,0,1,0,0.6771328748826912,1,,0,0,0,0,0,0,1,-1.482711534,-0.57635444,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4445-ZJNMU,1,0,0,0,-0.951681674,1,,0,1,0,0,1,1,1,1.1479131171958254,-0.600443027,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
4808-YNLEU,0,0,1,0,0.10704778280226633,1,,1,0,0,0,1,0,1,-0.086802054,-0.028361137,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
1862-QRWPE,0,0,1,1,0.6364125111626608,1,,0,0,0,0,0,0,0,-1.466093564,-0.539449489,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2796-NNUFI,0,0,1,1,0.5549717837226001,1,,0,0,0,0,0,0,1,-1.489358722,-0.59675915,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
3016-KSVCP,1,0,1,0,-0.1372744,0,2,0,0,0,0,1,0,0,-1.03070275,-0.560515973,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
4767-HZZHQ,1,0,1,1,-0.096554036,1,,0,1,1,0,0,0,0,0.574593152,0.12814850371097536,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2424-WVHPL,1,1,0,0,-1.277444584,1,,0,0,0,1,0,0,0,0.3303089931140931,-0.97282347,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
7233-PAHHL,1,0,1,1,1.369379058123207,1,,1,0,1,1,1,1,1,0.6394032351449919,1.5152496589794784,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
6067-NGCEU,0,0,0,0,1.3286586944031769,1,,1,1,1,0,1,1,1,1.5384354122348645,2.1297071688791958,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
9848-JQJTX,1,0,0,0,1.6137012404433893,1,,0,1,1,0,1,1,1,1.2010906212011416,2.2850256153772723,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
8637-XJIVR,0,0,0,0,-0.829520583,1,,1,0,0,0,0,0,1,0.47156173812821356,-0.596648854,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
9803-FTJCG,1,0,1,1,1.5729808767233588,1,,1,1,0,1,0,0,1,0.069406864,1.0892654919116826,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
0278-YXOOG,1,0,0,0,-1.114563129,1,,0,0,0,0,0,0,0,-1.452799188,-0.955551158,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
3212-KXOCR,1,0,0,0,0.7992939660427822,1,,0,0,0,0,0,0,0,-1.454460985,-0.517302106,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE